compuesto,fase,carga_atomica
CA 89,gas,-0.0745
CA 89,agua,-0.1223
CA 89,decalina,-0.0945
CA 90,gas,-0.0722
CA 90,agua,-0.1194
CA 90,decalina,-0.0919
CA 4,gas,-0.0704
CA 4,agua,-0.1155
CA 4,decalina,-0.0894
CA 91,gas,-0.0697
CA 91,agua,-0.1157
CA 91,decalina,-0.0886
CA 5,gas,-0.0676
CA 5,agua,-0.1121
CA 5,decalina,-0.0863
CA 9,gas,-0.0667
CA 9,agua,-0.1122
CA 9,decalina,-0.0854
CA 6,gas,-0.0658
CA 6,agua,-0.1096
CA 6,decalina,-0.0838
CA 94,gas,-0.0656
CA 94,agua,-0.1122
CA 94,decalina,-0.0849
CA 10,gas,-0.0651
CA 10,agua,-0.1125
CA 10,decalina,-0.0843
CA 95,gas,-0.0651
CA 95,agua,-0.1114
CA 95,decalina,-0.0842
CA 11,gas,-0.0637
CA 11,agua,-0.1077
CA 11,decalina,-0.0819
CA 13,gas,-0.0622
CA 13,agua,-0.1061
CA 13,decalina,-0.0805
CA 3,gas,-0.0619
CA 3,agua,-0.1076
CA 3,decalina,-0.0806
CA 12,gas,-0.0598
CA 12,agua,-0.1026
CA 12,decalina,-0.0771
CA 1,gas,-0.0574
CA 1,agua,-0.0978
CA 1,decalina,-0.0742
CA 2,gas,-0.0574
CA 2,agua,-0.0997
CA 2,decalina,-0.0749
CA 92,gas,-0.0552
CA 92,agua,-0.0981
CA 92,decalina,-0.0734
CA 93,gas,-0.0507
CA 93,agua,-0.0688
CA 93,decalina,-0.0926
CA 8,gas,-0.0408
CA 8,agua,-0.0799
CA 8,decalina,-0.0564
CA 14,gas,-0.0383
CA 14,agua,-0.0468
CA 14,decalina,-0.0295
CA 98,gas,-0.0288
CA 98,agua,-0.0633
CA 98,decalina,-0.0437
CA 96,gas,-0.0273
CA 96,agua,-0.0602
CA 96,decalina,-0.0417
CA 97,gas,-0.025
CA 97,agua,-0.0576
CA 97,decalina,-0.0387
CA 102,gas,-0.0217
CA 102,agua,-0.0387
CA 102,decalina,-0.0242
CA 101,gas,-0.0142
CA 101,agua,-0.0142
CA 101,decalina,-0.026
CA 100,gas,-0.0085
CA 100,agua,-0.0347
CA 100,decalina,-0.0194
CA 15,gas,-0.0045
CA 15,agua,-0.0276
